"Folder","OldName","NewName"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-001","photo_2026-09-23_20-15-41.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-001","photo_2026-09-23_20-16-01.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-001","photo_2026-09-23_20-16-06.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-001","IMG_3855.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-002","photo_2026-09-23_20-21-06.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-002","photo_2026-09-23_20-21-25.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-002","photo_2026-09-23_20-22-15.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-002","IMG_2878.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-003","photo_2026-09-23_20-23-25.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-003","photo_2026-09-23_20-23-32.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-003","photo_2026-09-23_20-23-37.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-003","IMG_3857.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-004","photo_2026-09-23_20-23-45.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-004","photo_2026-09-23_20-23-52.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-004","photo_2026-09-23_20-23-55.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-004","IMG_3264.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-005","photo_2026-09-23_20-24-09.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-005","photo_2026-09-23_20-24-19.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-005","photo_2026-09-23_20-24-22.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-005","IMG_8826.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-006","photo_2026-09-23_20-24-45.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-006","photo_2026-09-23_20-24-57.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-006","photo_2026-09-23_20-25-01.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-006","IMG_8878.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-007","photo_2026-09-23_20-25-28.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-007","photo_2026-09-23_20-25-45.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-007","photo_2026-09-23_20-25-49.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-007","IMG_3873.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-008","photo_2026-09-23_20-26-14.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-008","photo_2026-09-23_20-26-19.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-008","photo_2026-09-23_20-26-22.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-008","IMG_2245.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-009","photo_2026-09-23_20-26-58.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-009","photo_2026-09-23_20-27-11.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-009","photo_2026-09-23_20-27-14.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-009","IMG_6777.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-010","photo_2026-09-23_20-27-23.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-010","photo_2026-09-23_20-27-29.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-010","photo_2026-09-23_20-27-32.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\beijing-model-010","IMG_5604.MP4","profile.mp4"
